id	text	category	image_url	source
angry_50	o͡͡͡╮⁞ ˵ ᓀ ︿ ᓂ ˵ ⁞╭o͡͡͡	donger		Donger List
angry_51	⋋╏ ᓀ 〜 ᓂ ╏⋌	donger		Donger List
angry_52	໒( ˵☉ ͟ʖ ☉˵ )७	donger		Donger List
angry_53	ლ(ಠ益ಠ)ლ	donger		Donger List
angry_54	୧༼ ͡◕ д ◕͡ ༽୨	donger		Donger List
angry_55	(╯°□°）╯︵ (\ . 0 .)\	donger		Donger List
angry_56	ლ( `Д’ ლ)	donger		Donger List
angry_57	╰| ⁰ ෴ ⁰ |╯	donger		Donger List
angry_58	୧⁞ ˵ ･ 益 ･ ˵ ⁞୨	donger		Donger List
angry_59	༼ ˵ ❛ 益 ❛ ˵ ༽	donger		Donger List
angry_60	༼ , ﹒︣ o ﹒︣ , ༽	donger		Donger List
angry_61	[ ಠ □ ಠೃ ]	donger		Donger List
angry_62	[ ಠ (oo) ಠ ]	donger		Donger List
angry_63	༼ ಠ ▃ ಠೃ ༽	donger		Donger List
angry_64	༼ ∗ •̀ (oo) •́ ∗ ༽	donger		Donger List
angry_65	c༼ ” ͡° ▃ °͡ ” ༽ᕤ	donger		Donger List
angry_66	໒( ˵ •̀ □ •́ ˵ )७	donger		Donger List
angry_67	ʕ •̀ o •́ ʔ	donger		Donger List
angry_68	へʕ ∗ ´ ۝ ´ ∗ ʔ┘	donger		Donger List
angry_69	┌໒( : ͡° д °͡ : )७┐	donger		Donger List
angry_70	┌∩┐(ಠ_ಠ)┌∩┐	donger		Donger List
angry_71	(ヾﾉ•᷅ ༬•᷄ )	donger		Donger List
angry_72	ฅ⁽͑ ˚̀ ˙̭ ˚́ ⁾̉ฅ	donger		Donger List
angry_73	(۶ૈ ᵒ̌ Дᵒ̌)۶ૈ=͟͟͞͞ ⌨	donger		Donger List
angry_74	ヽ(ಠ▃ಠ)ﾉ	donger		Donger List
angry_75	ಠ⌣ಠ	donger		Donger List
angry_76	┬─┬ノ(ಠ_ಠノ)	donger		Donger List
angry_77	ヽ(`Д´)ﾉ	donger		Donger List
angry_78	（╯°□°）╯︵( .o.)	donger		Donger List
angry_79	(╯°Д°）╯︵/(.□ . )	donger		Donger List
angry_80	┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻	donger		Donger List
animal_0	ᕙ(˵ ಠ ਊ ಠ ˵)ᕗ	donger		Donger List
animal_1	╰( ⁰ ਊ ⁰ )━☆ﾟ.*･｡ﾟ	donger		Donger List
animal_2	ʕ ᓀ ᴥ ᓂ ʔ	donger		Donger List
animal_3	ᕙᓄ(☉ਊ☉)ᓄᕗ	donger		Donger List
animal_4	ᕦ⁞ ✿ ᵒ̌ ᴥ ᵒ̌ ✿ ⁞ᕤ	donger		Donger List
animal_5	٩ʕ◕౪◕ʔو	donger		Donger List
animal_6	(V●ᴥ●V)	donger		Donger List
animal_7	@( ◕ x ◕ )@	donger		Donger List
animal_8	┌( •́ ਊ •̀ )┐	donger		Donger List
animal_9	(╭ರᴥ•́)	donger		Donger List
animal_10	ᕙʕಠᴥಠʔᕗ	donger		Donger List
animal_11	ʕ ・ Д ・ ʔ	donger		Donger List
animal_12	(つ•̀ᴥ•́)つ*:･ﾟ✧	donger		Donger List
animal_13	ʕ⊙ᴥ⊙ʔ	donger		Donger List
animal_14	(⊃･ᴥ･)つ	donger		Donger List
animal_15	(^ ◕ᴥ◕ ^)	donger		Donger List
animal_16	(ᕗ ͠°  ਊ ͠° )ᕗ	donger		Donger List
animal_17	༼( ͡⊙  ਊ  ͡⊙)༽	donger		Donger List
animal_18	ᕦ( ヘ (oo) ヘ )ᕤ	donger		Donger List
animal_19	乁ʕ •̀ ۝ •́ ʔㄏ	donger		Donger List
animal_20	(∩◕(oo)◕∩ )	donger		Donger List
animal_21	[ ᕤ ಠ (oo) ಠ ]ᕤ ︵┻━┻	donger		Donger List
animal_22	ʕ – (oo) – ʔ	donger		Donger List
animal_23	ᕦʕ ՞ ౪ ՞ ʔᕤ	donger		Donger List
animal_24	乁໒( ͡◕ ᴥ ◕͡ )७ㄏ	donger		Donger List
animal_25	ʕ ◕ ▃ ◕ ʔ	donger		Donger List
animal_26	ʕ◉ᴥ◉ʔ	donger		Donger List
animal_27	(◕ᴥ◕)	donger		Donger List
animal_28	╰໒(◉ᴥ◉)७╯	donger		Donger List
animal_29	ʕ ಡ ﹏ ಡ ʔ⊃―{}@{}@{}-	donger		Donger List
animal_30	ლ[ಠ(oo)ಠ]ლ	donger		Donger List
animal_31	ʕノ•ᴥ•ʔノ ︵ ┻━┻	donger		Donger List
animal_32	\ ʕ◕‿◕ʔ /	donger		Donger List
animal_33	╭∩╮ʕ ◉ ﹏ ◉ ʔ╭∩╮	donger		Donger List
animal_34	ᕙ༼◕◞౪◟◕༽ᕗ	donger		Donger List
animal_35	╰( ◕ ^ ◕ )╯	donger		Donger List
animal_36	੧〳 ˵ ಠ ᴥ ಠ ˵ 〵ノ⌒.	donger		Donger List
animal_37	ᕦʕ ° o ° ʔᕤ	donger		Donger List
animal_38	໒( ͒ ౪ ͒ )७	donger		Donger List
animal_39	ʕ ͡°̲ (oo) ͡°̲ ʔ	donger		Donger List
animal_40	ᕙ(◕ਊ◕)ᕗ	donger		Donger List
animal_41	ᕦʕ . ☯ ᴥ ☯ . ʔᕤ	donger		Donger List
animal_42	୧╏ ~ ᴥ ~ ╏୨	donger		Donger List
animal_43	╏ ◯ ᴥ ◯ ╏	donger		Donger List
animal_44	⋋〳 ･ ਊ ･ 〵⋌	donger		Donger List
animal_45	ᕙʕ ◖ ڡ ◗ ʔᕗ	donger		Donger List
animal_46	┌ʕ º ʖ̯ º ʔ┐	donger		Donger List
animal_47	ᕕ〳 ் (oo) ் 〵╯	donger		Donger List
animal_48	| ~ ￣ (oo) ￣ ~ |	donger		Donger List
animal_49	ʕ ☉ (oo) ☉ ʔ	donger		Donger List
animal_50	໒( ◔ ω ◔ )७	donger		Donger List
animal_51	ʕ ᵒ̌ ‸ ᵒ̌ ʔ	donger		Donger List
animal_52	ᕙ໒(˵￣ᴥ￣˵)७ᕗ	donger		Donger List
animal_53	⊂(ο･㉨･ο)⊃	donger		Donger List
animal_54	乁[ᓀ˵▾˵ᓂ]ㄏ	donger		Donger List
animal_55	╭(◕◕ ◉෴◉ ◕◕)╮	donger		Donger List
animal_56	୧ʕ•̀ᴥ•́ʔ୨	donger		Donger List
animal_57	໒( ⊚ (oo) ⊚ )७	donger		Donger List
animal_58	ʕ ಡ ﹏ ಡ ʔ	donger		Donger List
animal_59	▐ ᓀ (oo) ᓂ ▐	donger		Donger List
animal_60	⋋( ◕ ∧ ◕ )⋌	donger		Donger List
animal_61	། ~ ◕ (oo) ◕ ~ །	donger		Donger List
animal_62	ʕ ⊃･ ◡ ･ ʔ⊃︵┻━┻	donger		Donger List
animal_63	ᕙʕ ◐ ﹏ ◐ ʔᕗ	donger		Donger List
animal_64	| ˵ ･ (oo) ･ ˵ |	donger		Donger List
animal_65	ᕦ( ~ ◔ ᴥ ◔ ~ )੭━☆ﾟ.*･｡ﾟ	donger		Donger List
animal_66	໒( ◕ (oo) ◕ )७	donger		Donger List
animal_67	ʕ ﹒︣ ᴥ ﹒︣ ʔ	donger		Donger List
